author_id,author_name,日发帖量,时间间隔连续小于5秒的次数,发文内容相似度
88_3x6bj2ii77sw57y,向幸福出发99354,37,2,0.04193413403395209
88_3xmu6pkyntu5agw,颜淑枝~,29,0,0.27368055736901714
88_3xcyuvfk2f4353w,鱼破汀,15,0,-0.010839177295565605
88_3xut3vcuevgxm54,𝟮𝟲,14,0,0.2642794953925269
88_3xd4mr6ygwucpr6,千狼.曦™💢[沈叶],10,0,0.08036131570891787
88_3xbusx2czhmxmt2,徐章祥1314520,8,0,0.16217265764928676
88_3x9778v4b6693vc,࿐彼岸花࿐,5,0,-0.0027096471706913277
88_3x59wwqgb4s2nm6,LveaiZ9,4,0,-0.028952527170379955
88_3xg48754wxkerqk,十四,4,0,0.08979925379013785
88_3xqn39hmzzsacs4,殺心杨,4,0,0.014443505616262068
88_3xbt8wbsm2jg29k,s g g t h vd,3,0,-0.010839177295565605
88_3xg4kvyhbmkbsc2,冷冰冰,3,0,0.0503766940596203
88_3xu6gawkkk6n7fy,叶…飘落,3,0,-0.024011189583688974
88_3x9zfubahsyp6zg,夏天阳光,2,0,0.22828559468810758
88_3xa2esbn2mqmwv9,楚楚儿,2,0,0.0
88_3xa7nq7gjpbxs99,心如子水550,2,0,0.39257015005538337
88_3xcc88kek44ksku,來了在么,2,0,-0.024011189583688974
88_3xrf486n9f2qhcy,关我什么柿,2,0,-0.010839177295565605
88_3xsgz492hv3d352,墨染O（∩_∩）O,2,0,-0.010839177295565605
88_3xsi2nmwgccyaxe,邦禾农业-小梦老师,2,0,0.025837342595900183
88_3xszpk45q4cnxbe,ᝰꫛꫀꪝ⁵²º⅓¼.αV,2,0,0.01614878522232175
88_3xucb4md8qqivru,ઇଓ,2,0,0.04665469526801081
88_3xujrmeeqgaynhi,陳 俊 x,2,0,-0.010839177295565605
88_3x666tmyqvpibum,ﾉ☀,1,0,-0.024011189583688974
88_3x7auzrwzukmig9,逸随_病[攻],1,0,-0.028952527170379955
88_3x9mjbsaykpb52e,那是七-,1,0,-0.0041742715518921615
88_3xbjquv7vsztb7u,无敌小Lu神,1,0,-0.024011189583688974
88_3xcri4vcrwegt5y,释然68715,1,0,0.22828559468810758
88_3xetkwksiiwjpy2,薛之谦的桮嗶*,1,0,0.10798930207219644
88_3xinbx8u2hf7ttu,开心,1,0,0.0
88_3xixcygiigfpvzy,我心依然9348,1,0,0.04069128065436546
88_3xpbrtzbfvtk99i,傻傻的笨434,1,0,0.018366873863020113
88_3xsj65cm89k5mma,清荷695,1,0,0.006960569766723017
88_3xthmkd8evapjde,袁，唯一不变的承诺,1,0,-0.010839177295565605
88_3xxww3che4nj4q9,隗沫.,1,0,-0.028952527170379955
